i,n,r,rnew,rto,censusregions,st,in,country
437,p188,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX
438,p189,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX
439,p190,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX
440,p191,nr15,nr27new,rto40,MEX,GRO_MIC,mexico,MEX
441,p192,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX
442,p193,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX
443,p194,nr15,nr27new,rto40,MEX,CAM_CHP_TAB,mexico,MEX
444,p195,nr15,nr27new,rto40,MEX,CAM_CHP_TAB,mexico,MEX
445,p196,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX
446,p197,nr15,nr27new,rto40,MEX,CAM_CHP_TAB,mexico,MEX
447,p198,nr15,nr27new,rto40,MEX,YUC,mexico,MEX
448,p199,nr15,nr27new,rto40,MEX,ROO,mexico,MEX
449,p200,nr15,nr27new,rto40,MEX,ROO,mexico,MEX
450,p201,nr15,nr27new,rto41,MEX,BCN,mexico,MEX
451,p202,nr15,nr27new,rto41,MEX,BCN,mexico,MEX
452,p203,nr15,nr27new,rto41,MEX,BCN,mexico,MEX
453,p204,nr15,nr27new,rto41,MEX,BCN,mexico,MEX
454,p205,nr15,nr27new,rto41,MEX,BCS,mexico,MEX
